"EX_R"
-10.07
-1.37
-0.96
1.35
6.62
5.15
4.27
-11.59
1.46
-4.6
-1.27
-3.92
-0.64
-0.15
0.99
0.34
4.01
2.72
1.79
3.73
3.82
-2.9
0.38
4.2
2.11
-11.03
9.33
-2.7
-7.71
-8.5
-14.27
2.26
-2.66
-8.86
-8.5
-4.82
5.81
-7.68
-4.73
-4.72
-4.03
4.3
-6.87
-9.19
-2.79
2.1
2.34
12.03
7.41
5.76
2.19
5.39
3.04
6.93
-1.42
-0.45
13.94
-5.37
