"INT_D"
-0.36
-1.8
-1.06
-1.25
-1.95
-0.49
-0.77
0.01
-0.15
-1.34
-0.83
-1.48
-1.79
-1.24
-0.84
-0.49
-1.47
-0.37
-0.35
-0.15
0.51
0.58
-0.12
-0.19
0.1
1.24
-0.61
0.33
1.43
0.53
-1.09
-2.52
-0.74
-2.03
-0.21
-1.49
-3.5
-0.71
-1.09
-1.08
-0.83
-0.84
-0.04
-0.04
-0.5
-0.45
-0.69
-0.58
-1.23
-1.14
-0.1
-0.46
-0.84
-0.4
-0.3
0
-0.37
-0.35
